pair,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,comparison_id,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
1,09B,A,1.0,1_1,A,9.0,,09B,,,,23522,23862,340,B,2.0,2_2,B,9.0,,,09B,,,585720,586200,480,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,True,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,True,1,23522.0,23862.0,340.0,585720.0,586200.0,480.0,both,both,both
1,09A,A,1.0,1_1,A,9.0,,09A,,,,28261,28921,660,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,True,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,2,28261.0,28921.0,660.0,577858.0,578188.0,330.0,both,right,both
1,06B,B,1.0,1_2,B,6.0,,,06B,,,62023,62423,400,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,True,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,3,62023.0,62423.0,400.0,88685.0,89085.0,400.0,both,right,both
1,06D,B,1.0,1_2,B,6.0,,,06D,,,63661,63991,330,A,1.0,1_2,B,6.0,,06D,,,,79567,80047,480,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,True,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,True,4,63661.0,63991.0,330.0,79567.0,80047.0,480.0,both,right,both
1,06C,B,1.0,1_2,B,6.0,,,06C,,,67671,68071,400,A,2.0,2_9,A,6.0,,06C,,,,684606,685166,560,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,True,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,True,5,67671.0,68071.0,400.0,684606.0,685166.0,560.0,right,right,right
1,06B,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,6,88685.0,89085.0,400.0,865657.0,866957.0,1300.0,both,right,both
1,15C,A,1.0,1_3,A,15.0,,15C,,,,109461,110021,560,B,4.0,4_2,B,15.0,,,15C,,,923261,923541,280,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,True,,Ik heb met de glijbaan die drijft.,,I have with the slide that floats.,,,,15C,True,7,109461.0,110021.0,560.0,923236.0,923566.0,330.0,both,right,both
1,14D,B,1.0,1_4,B,14.0,,,14D,,,131201,131541,340,A,1.0,1_4,B,14.0,,14D,,14B,,142326,143486,1160,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,True,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,True,8,131201.0,131541.0,340.0,142326.0,143486.0,1160.0,both,left,both
1,14C,B,1.0,1_4,B,14.0,,,14C,,,133136,134256,1120,A,2.0,2_1,A,14.0,,14C,,,,548343,548643,300,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,True,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,True,9,133136.0,134256.0,1120.0,548328.0,548658.0,330.0,left,right,left_right
1,13D,A,1.0,1_5,A,13.0,,13D,,,,151001,151621,620,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,True,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,10,151001.0,151621.0,620.0,694535.0,694915.0,380.0,both,both,both
