label,label_eng,label_clean,remove
het bollet,the ballet,bollet,
rood,red,rood,
plateau,plateau,plateau,
Oh,Oh,,x
Oké,Okay,,x
rui,moult,rui,
cilinder,cylinder,cilinder,
blok,block,blok,
arm,arm,arm,
ruit,window,ruit,
satelliet,satellite,satelliet,
vinden,find,,x
rechthoekig,rectangular,rechthoekig,
oké,okay,,x
ehm,um,,x
cirkel,circle,cirkel,
cocktailglas,cocktail glass,cocktailglas,
vierkant,square,vierkant,
Pinocchio,Pinocchio,pinocchio,
armp,armp,armp,
eh ik hebben,um I have,,x
lijken,appear,,x
een soort,sort of,,x
paddenstoel,mushroom,paddenstoel,
er doorheen,through,doorheen,
weer,again,,x
citroen,lemon,citroen,
soort,type,,x
bakje,bowl,bakje,
voorop,ahead,,x
ijshoorn,ice cream cone,ijshoorn,
Yes,Yes,,x
de ober,the waiter,ober,
armp en,armp and,armp,
vis,fish,vis,
anker,anchor,anker,
balk,bar,balk,
twee armp,two armp,armp,
yes,yes,,x
aan de linkerkant,on the left,,x
aan de zijkant,on the side,,x
armpje,arm,armpje,
papier,paper,papier,
steeds groot worden,ever-growing,steeds groot worden,
Ernie,Ernie,ernie,
groot worden,grow up,groot worden,
ovaal,oval,ovaal,
de zijkant,the side,,x
eh,eh,,x
bollet,bollet,bollet,
recht,straight,,x
drijven,float,drijven,
glijbaan,slide,glijbaan,
staan,are,,x
Oh ik hebben,Oh I have,,x
rechts,right,,x
uitsteeksel,protrusion,uitsteeksel,
Oh ja,Oh yes,,x
vierkan,square,vierkan,
gewoon,simply,gewoon,
een uitstekend,an excellent,uitstekend,
een rok aan,wear a skirt,rok,
die geven een high five,who give a high five,geven  high five,
lepel,spoon,lepel,
en aan de zijkant,and on the side,,x
zwaaien,swing,zwaaien,
weer die,again those,,x
spijker,nail,spijker,
feesthoed,party hat,feesthoed,
tafel,table,tafel,
dit zijn weer,these are again,,x
schuin,slanted,schuin,
dit zijn weer die,these are again those,,x
paraplu,umbrella,paraplu,
klein,small,klein,
piramide,pyramid,piramide,
lang,long,lang,
wijnglas,wine glass,wijnglas,
dienblad,tray,dienblad,
kort,short,kort,
ei,egg,ei,
aflopen,expire,aflopen,
is-teken,is-sign,is-teken,
spijker bovenop,nail on top,spijker,
hanekam,hanekam,hanekam,
diamant,diamond,diamant,
vlak,flat,vlak,
happy,happy,happy,
raket,rocket,raket,
buigen,bend,buigen,
drukken,print,drukken,
noemen,mention,,x
gieter,watering can,gieter,
lang dan de,long than the,lang,
de achterste,the rear,achterste,
de voorste,the foremost,voorste,
vinden ik,find I,,x
een beetje,somewhat,,x
zijn neus,his nose,neus,
olifan,elephant,olifan,
precies,exactly,,x
rechthoekuitsteeksel,rectangular protrusion,rechthoekuitsteeksel,
poot,paw,poot,
pluim,plume,pluim,
bal,ball,bal,
het lijken,it seems,,x
een plaat,a plate,plaat,
zijn hoofd,his head,hoofd,
op zijn hoofd,on his head,hoofd,
poo,poo,poo,
Pippi Langkous,Pippi Longstocking,pippi langkous,
antenne,antenna,antenne,
Aardappelneus,Potato Nose,aardappelneus,
Frankenstein,Frankenstein,frankenstein,
staan die,are those,,x
even kijken,let's see,,x
beker,cup,beker,
driehoek,triangle,driehoek,
kijken,watch,,x
stopcontact,socket,stopcontact,
kiepbak,tipper,kiepbak,
ja precies,yes exactly,,x
vliegen,fly,vliegen,
neus,nose,neus,
ik hebben één,I have one,,x
en een klein,and a small,klein,
olifant,elephant,olifant,
scherm,screen,scherm,
wattenstaaf,cotton bud,wattenstaaf,
plui,fluff,plui,
spaceship,spaceship,spaceship,
half,half,half,
Flappy,Flappy,flappy,
springen,jumping,springen,
neuspiercing,nose piercing,neuspiercing,
glijbaanneus,slide nose,glijbaanneus,
Glijbaanneus,Sliding slide nose,glijbaanneus,
Minecraft,Minecraft,minecraft,
en dan links,and then left,,x
aan de linker en,on the left and,,x
zitten,sit,zitten,
met die lepel,with that spoon,lepel,
compact,compact,compact,
aan de rechterkant,on the right side,,x
rechterkant,right side,,x
aan de voorkant,up front,,x
aan de onderkant,underneath,,x
cubus,cubus,cubus,
niet,not,,x
slurf,trunk,slurf,
omheen zitten,sit around,omheen zitten,
Eh deze hebben,Eh these have,,x
deze staan op,these are on,,x
lampenkap,lampshade,lampenkap,
net,just,,x
toeter,horn,toeter,
de bovenkant,the top,,x
bovenkant,top,,x
plaat,plate,plaat,
achterkant,backside,,x
aan de achterkant,overleaf,,x
groot,great,groot,
een klein,a small,klein,
pion,pawn,pion,
deze hebben een,these have a,,x
links,left,,x
dan aan de linkerkant,then on the left side,,x
linksonder,bottom left,,x
aan de achterkant zitten,at the back are,zitten,
staaf,bar,staaf,
aan de bovenkant,at the top,,x
even,just,,x
rechthoek,rectangle,rechthoek,
liggen,lie,liggen,
gewoon op,simply on,gewoon,
haak,hook,haak,
eruit,out,eruit,
kant,side,,x
deze staat op,this one is on,staat,
misschien,maybe,,x
kubus,cube,kubus,
een bal,a ball,bal,
zitten een,sit a,zitten,
kegel,cone,kegel,
spiraal,spiral,spiraal,
Eh en dan,Um and then,,x
steken uit,stick out,steken uit,
keer,times,keer,
wat ruimte tussen,some space between,wat ruimte tussen,
steken,stitches,steken,
mhm,mhm,,x
ik vinden,I find,,x
vogel,bird,vogel,
stengel,stem,stengel,
langwerpig,oblong,langwerpig,
dinget,dinget,dinget,
toch,anyway,,x
kraan,crane,kraan,
platform,platform,platform,
zijkant,side,,x
ik hebben de bleekselderij,I have the celery,bleekselderij,
van klein naar groot,from small to large,klein  groot,
dubbel,double,dubbel,
raar,weird,raar,
kruiwag,wheelbarrow,kruiwag,
met de piercing,with the piercing,piercing,
hendel,lever,hendel,
twee verschillend,two different,verschillend,
ding,thing,,x
draaien,turn,draaien,
snavel,beak,snavel,
een soort van,a kind of,,x
horizontaal,horizontal,horizontaal,
rond aan de achterkant,round at the back,rond,
schef,sheath,schef,
ehm ja,um yes,,x
twee klein,two small,klein,
Ehm,Um,,x
op een driehoek,on a triangle,driehoek,
piercing,piercing,piercing,
verticaal,vertical,verticaal,
oort,ear,oort,
een cirkel,a circle,cirkel,
een plank,a shelf,plank,
trapezium,trapezoid,trapezium,
eronder,under it,,x
schrijven,write,schrijven,
heel,very,,x
joystick,joystick,joystick,
een lang,a long,lang,
hand,hand,hand,
link,link,,x
wc-ontstopper,toilet plunger,wc-ontstopper,
nummer,number,,x
het bakje erop,the tray on it,bakje,
dat zijn nummer,that his number,,x
door de kom heen,through the bowl,door  kom heen,
Links,Links,,x
toren,tower,toren,
vorm,form,vorm,
kanon,cannon,kanon,
een oor,an ear,oor,
lineaal,ruler,lineaal,
lijken een,appear to be a,,x
driehoek bovenop,triangle on top,driehoek,
pen,pen,pen,
bedoelen,mean,,x
zeepaard,seahorse,zeepaard,
fietsstuur,bicycle handlebars,fietsstuur,
pinnet,pinnet,pinnet,
ontstopper,plunger,ontstopper,
verschillend,different,verschillend,
een nieuw,a new,nieuw,
op de bovenkant,on top,,x
verschuiven,shift,verschuiven,
Wacht,Wait,,x
op de knop drukken,press the button,knop drukken,
stok,stick,stok,
aan allebei de kant,on both sides,,x
helemaal,totally,,x
deze hebben,these have,,x
hebben,have,,x
Eh,Eh,,x
een beetje aan de onderkant,a little at the bottom,,x
de voorkant,the front,,x
staat,state,staat,
twee dezelfde,two identical,dezelfde,
een ballet,a ballet,ballet,
beetje,bit,,x
ja oké,yes okay,,x
en rechts,and right,,x
daarboven,up there,,x
trapeze,trapeze,trapeze,
O,O,,x
soort van,sort of,,x
smal,narrow,smal,
bred,bred,bred,
Eh deze,Um these,,x
daarop,thereon,daarop,
hoog,high,hoog,
niet echt,not really,,x
kap,hood,kap,
eend,duck,eend,
statief,tripod,statief,
bovenop,on top of,,x
tuut naar boven,tuut up,tuut  boven,
op het vierkant,on the square,vierkant,
plat,flat,plat,
een stuk,one piece,stuk,
een steel,a handle,steel,
hebben cijfer,have figure,cijfer,
naar links,to the left,,x
wel laag,well low,wel laag,
appelstokje,apple stick,appelstokje,
een bakje met,a tray with,bakje,
schoorsteen,chimney,schoorsteen,
handvat,handle,handvat,
paal,post,paal,
kop,header,kop,
twee dinget,two dinget,dinget,
boch,boch,boch,
nou,well,,x
erin,in it,,x
steelt,steals,steelt,
twee oor,two ear,oor,
dun,thin,dun,
afsnijden,cropping,afsnijden,
en twee armp,and two armp,armp,
verfkwast,paintbrush,verfkwast,
staart,tail,staart,
zonnepaneel,solar panel,zonnepaneel,
Saturnus,Saturn,saturnus,
lijken op,resemble,,x
tandenborstelhouder,toothbrush holder,tandenborstelhouder,
er bovenop,on top of,,x
twee pistolen,two pistols,pistolen,
boot,boat,boot,
onderkant van,underside of,,x
kwast,brush,kwast,
parallel,parallel,parallel,
indiaan,Indian,indiaan,
bord,sign,bord,
rond waar je iets op kunnen bijzetten,around where you can put something on,rond   iets  kunnen bijzetten,
wielt,wielt,wielt,
stuur,send,stuur,
bol bovenop,sphere on top,bol,
vleugelt,wings,vleugelt,
roerstaaf,stirrer,roerstaaf,
propeller,propeller,propeller,
blokkentoren,block tower,blokkentoren,
punt,point,punt,
een poo,a poo,poo,
trofee,trophy,trofee,
spijkert,nails,spijkert,
verrekijker,binoculars,verrekijker,
de koffiezetmo,the coffee maker,koffiezetmo,
puntig,pointed,puntig,
de speeltuin,the playground,speeltuin,
een rand,an edge,rand,
Liggen,Lying,liggen,
druppel,drop,druppel,
speaker,speaker,speaker,
echt,truly,,x
een beetje op een,a little on a,,x
mijn plaat zijn,be my record,mijn plaat,
versprong,staggered,versprong,
een beetje op,a little at,,x
ik hebben de sushichef,I have the sushi chef,sushichef,
half cirkel,semi-circle,half cirkel,
het koffiekopje,the coffee cup,koffiekopje,
twee ding die,two thing that,,x
pinguin,penguin,pinguin,
krokodil,crocodile,krokodil,
twee ding,two thing,,x
steelpan,saucepan,steelpan,
krael,scratch,krael,
ninja,ninja,ninja,
been,leg,been,
sushi,sushi,sushi,
knuffelen,hug,knuffelen,
