label,label_eng,remove,note
vierkant,square,,
aan de linkerkant,on the left,x,
bak,bak,,
spijker,nail,,
plaat,plate,,
een soort,sort of,x,
vogelt met,fowls with,,
feesthoed,party hat,,
vogel,bird,,
kijken,watch,,
draaien,turn,,
driehoek,triangle,,
pilaar,pilar,,
staan,stand,,
drie ding,three thing,,
aan de rechterkant,on the right side,x,
soort,type,,
hoedje,hat,,
nummer,number,x,
hoed op,hat on,,
gelijk,equal,,
uitstulping,uitstulping,,
armp,armp,,
balk,bar,,
kop,kop,,
horizontaal,horizontal,,
propeller,propeller,,
ei,ei,,
okÃ©,okay,x,
oké,okay,x,
zuignap,suction cup,,
naar rechts,to the right,x,
wijken,districts,,
echt,truly,,
houtversnipperaar,wood chipper,,
uitsteeksel,protrusion,,
plat,plat,,
zitten twee,are two,x,
rechterkant,right side,x,
weer,again,x,
aan de zijkant,on the side,x,
beide kant,both sides,x,
de bovenkant,the top,x,
Frankenstein,Frankenstein,,
borstel,brush,,
even,even,,
de bak,Say look,,
voet,foot,,
wc-pot,wc-pot,,
leunken,sink,,
moeilijk,difficult,,
de linkerkant,the left side,x,
rechts,right,x,
links,left,x,
heel,very,x,
misschien,misschiene,,
dinget,dinget,,
makkelijk,easy,,
toch,anyway,x,
de voorkant,the front,x,
penceel,pencil,,
erin,erin,,
bak met,met tub,,
ding,ding,,
linkerkant,left side,x,
plank,board,,
staan op,are on,x,
staaf,bar,,
doorboren,pierce,,
een pilaar,a pilar,,
aan de voorkant,up front,x,
de bovenkant en,the top and,x,
een buis,a tube,,
toren,gates,,
bovenop zitten,sit on top,,
jij noemen,you mention,x,
propellerkop,propeller head,,
trapezium,trapezium,,
wijnglas,wine glass,,
zijkant,side,x,
trapezium bovenop,trapezium bovenop,,
uitsteken,protruding,,
bolle,ball,,
lepel,lepel,,
poot,paw,,
tafel,board,,
stok,slope,,
beetje,bit,,
steken,stitches,,
twee driehoeken,two triangles,,
een driehoek,a triangle,,
dik,dik,,
dun,dun,,
kromming,curve,,
lopen,lopen,,
staat,state,,
die uitsteken,sticking out,,
aan de achterkant,back,x,
de zijkant,the side,x,
kegel,cone,,
en een rond,and a round,,
die van dik naar dun,those from thick to thin,,
kant,side,x,
