Begin Time - msec	End Time - msec	Duration - msec	A_LH_gesture	A_RH_gesture	B_LH_gesture	B_RH_gesture	File	File Path	A_LH_gesture_beat	A_LH_gesture_comments	A_LH_gesture_deixis	A_LH_gesture_iconicity	A_LH_gesture_pragmaticality	A_LH_gesture_referent	A_RH_gesture_beat	A_RH_gesture_comments	A_RH_gesture_deixis	A_RH_gesture_iconicity	A_RH_gesture_pragmaticality	A_RH_gesture_referent	A_speech	A_speech_eng	B_LH_gesture_beat	B_LH_gesture_comments	B_LH_gesture_deixis	B_LH_gesture_iconicity	B_LH_gesture_pragmaticality	B_LH_gesture_referent	B_RH_gesture_beat	B_RH_gesture_comments	B_RH_gesture_deixis	B_RH_gesture_iconicity	B_RH_gesture_pragmaticality	B_RH_gesture_referent	B_speech	B_speech_eng	accuracy	comments	correct_answer	director	given_answer	round	target	trial
5585	5825	240		gesture			001.eaf												1.0		Ik vind... Oh okÃ©, we mogen beginnen	I think... Oh okay, we may begin																	14	A		1.0	9.0	1_1
7344	7824	480		gesture			001.eaf												1.0		Ehm ik, ik heb het vierkantje dus ik moet beginnen met uitleggen he	Ehm I, I got the square so I have to start explaining hey																	14	A		1.0	9.0	1_1
7648	8048	400	gesture				001.eaf		1.0				1.0						1.0		Ehm ik, ik heb het vierkantje dus ik moet beginnen met uitleggen he	Ehm I, I got the square so I have to start explaining hey																	14	A		1.0	9.0	1_1
8281	9021	740	gesture				001.eaf		1.0		1.0										Ehm ik, ik heb het vierkantje dus ik moet beginnen met uitleggen he	Ehm I, I got the square so I have to start explaining hey																	14	A		1.0	9.0	1_1
8422	9422	1000		gesture			001.eaf		1.0		1.0						1.0				Ehm ik, ik heb het vierkantje dus ik moet beginnen met uitleggen he	Ehm I, I got the square so I have to start explaining hey																	14	A		1.0	9.0	1_1
12739	13039	300	gesture	gesture			001.eaf					1.0		main				1.0		main	OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
13333	13573	240	gesture	gesture			001.eaf					1.0		main-REP				1.0		main-REP	OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
13977	14297	320	gesture	gesture			001.eaf					1.0		main-rep				1.0		main-rep	OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
14337	14617	280	gesture	gesture			001.eaf					1.0		main				1.0		main	OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
15405	15605	200	non-gesture				001.eaf														OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
16140	16440	300	gesture	gesture			001.eaf					1.0		09B				1.0		09B	OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
17658	17918	260	gesture	gesture			001.eaf						1.0						1.0		OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje	Okay, so I have say yes that kind of reactor that is on a on a yes on a plane																	14	A		1.0	9.0	1_1
18583	18703	120	non-gesture				001.eaf														Dat is een een een eh ovaal vlak	That's a one an um oval plane																	14	A		1.0	9.0	1_1
19680	20180	500	gesture	gesture			001.eaf						1.0						1.0		Dat is een een een eh ovaal vlak	That's a one an um oval plane																	14	A		1.0	9.0	1_1
21851	22161	310	gesture	gesture			001.eaf					1.0		09B				1.0		09B	Dat is een een een eh ovaal vlak	That's a one an um oval plane																	14	A		1.0	9.0	1_1
22328	22531	203	gesture	gesture			001.eaf		1.0						1.0						En dat is een soort van ja (staand) iets waar die op staat	And that's kind of a yes (standing) something that it's standing on																	14	A		1.0	9.0	1_1
22781	22968	187	gesture	gesture			001.eaf		1.0				1.0		1.0				1.0		En dat is een soort van ja (staand) iets waar die op staat	And that's kind of a yes (standing) something that it's standing on																	14	A		1.0	9.0	1_1
23522	23862	340	gesture	gesture			001.eaf		1.0			1.0		09B	1.0			1.0		09B	En dat is een soort van ja (staand) iets waar die op staat	And that's kind of a yes (standing) something that it's standing on																	14	A		1.0	9.0	1_1
25202	26042	840		gesture			001.eaf											1.0		09A	Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit	Then it looks like it is being stirred, because there is a yes pin on it																	14	A		1.0	9.0	1_1
26092	26392	300		non-gesture			001.eaf														Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit	Then it looks like it is being stirred, because there is a yes pin on it																	14	A		1.0	9.0	1_1
28261	28921	660	gesture	gesture			001.eaf					1.0		09A				1.0		09A	Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit	Then it looks like it is being stirred, because there is a yes pin on it																	14	A		1.0	9.0	1_1
30615	30875	260	gesture				001.eaf		1.0												Ehm hij heeft Ã©Ã©n arm en aan de achterkant heeft hij een cirkel	Um he has one arm and at the back he has a circle																	14	A		1.0	9.0	1_1
31719	31859	140		gesture			001.eaf										1.0				Ehm hij heeft Ã©Ã©n arm en aan de achterkant heeft hij een cirkel	Um he has one arm and at the back he has a circle																	14	A		1.0	9.0	1_1
32028	32168	140		gesture			001.eaf								1.0		1.0				Ehm hij heeft Ã©Ã©n arm en aan de achterkant heeft hij een cirkel	Um he has one arm and at the back he has a circle																	14	A		1.0	9.0	1_1
32588	33008	420	gesture	gesture			001.eaf					1.0		09D				1.0		09D	Ehm hij heeft Ã©Ã©n arm en aan de achterkant heeft hij een cirkel	Um he has one arm and at the back he has a circle																	14	A		1.0	9.0	1_1
35942	36182	240	gesture				001.eaf					1.0		09D							Ehm ja, die er tegenaan zit	Ummm yes, the one that sits against it																	14	A		1.0	9.0	1_1
46627	46847	220			gesture		001.eaf																0.0		1.0	0.0	1.0								ja *14*.	yes *14*.			14	A		1.0	9.0	1_1
54105	54305	200		gesture			001.eaf												1.0		OkÃ©.	Okay.													Ja, dan druk ik op de knop.	Yes, then I press the button.			14	A		1.0	9.0	1_1
58497	58697	200			gesture		001.eaf																		1.0		1.0								Oh ja, nu heb ik de volgende.	Oh yes, now I have the next one.			D	B		1.0	6.0	1_2
62023	62423	400				gesture	001.eaf																									1.0		06B	Ehm het lijkt alsof die een arm heeft.	Um it looks like that one has an arm.			D	B		1.0	6.0	1_2
63661	63991	330				gesture	001.eaf																									1.0		06D-REP	En in die arm zit een een eh langwerpige balk.	And in that arm is a one um oblong bar.			D	B		1.0	6.0	1_2
65201	65770	569				gesture	001.eaf																									1.0		06D-rep	En in die arm zit een een eh langwerpige balk.	And in that arm is a one um oblong bar.			D	B		1.0	6.0	1_2
67671	68071	400				gesture	001.eaf																									1.0		06C	En aan de voorkant van die balk zit een cirkel.	And at the front of that beam is a circle.			D	B		1.0	6.0	1_2
70353	70533	180			gesture	gesture	001.eaf																1.0						1.0						En bovenop zit nog één klein pluimpje eigenlijk.	And on top is one little plume actually.			D	B		1.0	6.0	1_2
71141	71961	820				gesture	001.eaf																									1.0		06A	En bovenop zit nog één klein pluimpje eigenlijk.	And on top is one little plume actually.			D	B		1.0	6.0	1_2
79567	80047	480	gesture	gesture			001.eaf					1.0		06D				1.0		06D	Ehm ja, die z-zit hij door die arm heen?	Um yeah, that z-she's through that arm?																	D	B		1.0	6.0	1_2
87949	88409	460	gesture	gesture			001.eaf		1.0						1.0						Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.	Yes and yes the the the little arm is the little circle, the little ball so to speak.																	D	B		1.0	6.0	1_2
88685	89085	400	gesture	gesture			001.eaf					1.0		06B-REP				1.0		06B-REP	Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.	Yes and yes the the the little arm is the little circle, the little ball so to speak.																	D	B		1.0	6.0	1_2
89617	90110	493	gesture	gesture			001.eaf					1.0		06B-rep				1.0		06B-rep	Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.	Yes and yes the the the little arm is the little circle, the little ball so to speak.																	D	B		1.0	6.0	1_2
