pair,comparison_id,average_distance,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_wrist,right_wrist,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
001,1,0.1384062976073957,0.0561692455758011,0.16766455259070034,0.05407806849723834,0.07658620717332282,0.05250735849061725,0.07662108774929056,0.05305424800083275,0.06117733297191127,0.09964818663090644,0.06872432821581259,0.5010198188433634,0.3936251365489514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09B,A,1.0,1_1,A,9.0,,09B,,,,23522,23862,340,B,2.0,2_2,B,9.0,,,09B,,,585720,586200,480,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,True,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,True,23522.0,23862.0,340.0,585720.0,586200.0,480.0,both,both,both
001,2,0.32320671501392306,0.36633729370182155,0.1821375071746181,0.1798586976178229,0.28948898898915637,0.21310040059297686,0.2287986127499282,0.18063778685755624,0.2141125062405425,0.13948860425427245,0.21781993665085017,0.7101305248102733,0.9565697205272583,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09A,A,1.0,1_1,A,9.0,,09A,,,,28261,28921,660,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,True,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,28261.0,28921.0,660.0,577858.0,578188.0,330.0,both,right,both
001,3,0.2435092221008328,0.18946030058485566,0.07956037500375471,0.27594684758331556,0.12093740175362944,0.3679845829640951,0.26119623833900163,0.150352179760394,0.33691677901021216,0.04196731111162858,0.27932840975097556,0.15296033910118717,0.6654999002469445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,B,1.0,1_2,B,6.0,,,06B,,,62023,62423,400,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,True,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,62023.0,62423.0,400.0,88685.0,89085.0,400.0,both,right,both
001,4,0.19386207863952964,0.19197721993149286,0.293792493886288,0.039713330523409494,0.19792580181584576,0.0475831806497699,0.1820220899766291,0.04528770984532867,0.1722175092631242,0.02340901045729023,0.17258093438375027,0.14732930672180783,0.8125063562196196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06D,B,1.0,1_2,B,6.0,,,06D,,,63661,63991,330,A,1.0,1_2,B,6.0,,06D,,,,79567,80047,480,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,True,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,True,63661.0,63991.0,330.0,79567.0,80047.0,480.0,both,right,both
001,5,0.619949612355207,0.17749707195921313,0.7257548562209664,0.045376905786313905,0.7120803178391392,0.07116142100606976,0.6628712378049993,0.09516329596159312,0.5701666509897201,0.10710180079377248,0.4150811130124989,1.2442875758007346,0.6337434982639184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06C,B,1.0,1_2,B,6.0,,,06C,,,67671,68071,400,A,2.0,2_9,A,6.0,,06C,,,,684606,685166,560,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,True,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,True,67671.0,68071.0,400.0,684606.0,685166.0,560.0,right,right,right
001,6,0.3497562908596668,0.07778707967274744,0.2158793773149259,0.28986478421772954,0.41885480328792185,0.35592176778166484,0.5714511606554424,0.3276454344338967,0.5764803768967883,0.24575284437911254,0.5087907403371512,0.21360481762503972,0.395042303713581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,88685.0,89085.0,400.0,865657.0,866957.0,1300.0,both,right,both
001,7,0.37913191857498374,0.5296431728656007,0.2927913473874556,0.37792385536100154,0.236983796940835,0.408494321401431,0.24912665348060242,0.41999045203716834,0.24751402825853602,0.40498095503436937,0.2275405482226442,0.8828357037644518,0.2717581881457097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15C,A,1.0,1_3,A,15.0,,15C,,,,109461,110021,560,B,4.0,4_2,B,15.0,,,15C,,,923261,923541,280,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,True,,Ik heb met de glijbaan die drijft.,,I have with the slide that floats.,,,,15C,True,109461.0,110021.0,560.0,923236.0,923566.0,330.0,both,right,both
001,8,0.4482361471140459,0.3087861728451172,0.30737764729890227,0.23684185497103846,0.2617341429303169,0.22952670131341585,0.18129172567033205,0.22115747702245003,0.19923291830865375,0.2012928205956399,0.20814277336263323,1.9527292014510806,1.0707203295989711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14D,B,1.0,1_4,B,14.0,,,14D,,,131201,131541,340,A,1.0,1_4,B,14.0,,14D,,14B,,142326,143486,1160,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,True,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,True,131201.0,131541.0,340.0,142326.0,143486.0,1160.0,both,left,both
001,9,0.6790101549062206,0.5846602957035045,0.7773954767706074,0.85704638019571,0.9072001999118685,0.9778484632822538,0.783250922669431,1.0890392079445195,0.6052018221788019,1.1951224521598045,0.3908281271455137,1.39279719270342,1.47006881307086,0.43381601703631556,0.5744093838698817,0.5503316204664696,0.47748055444015675,0.39286921029285304,1.6451541433316474,0.5291553561481118,0.6387271722804613,0.6608456766807976,0.6794384614371385,0.7004033700944429,1.646883451728428,14C,B,1.0,1_4,B,14.0,,,14C,,,133136,134256,1120,A,2.0,2_1,A,14.0,,14C,,,,548343,548643,300,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,True,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,True,133136.0,134256.0,1120.0,548328.0,548658.0,330.0,left,right,left_right
001,10,0.3679238327358012,0.11288883522878705,0.5141465696559444,0.2701426592964596,0.5106114398262112,0.3069159187305691,0.5673034532963777,0.2794933530038812,0.5375303229546519,0.24318285790393085,0.44038579580635445,0.48006922238120026,0.152415564745247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13D,A,1.0,1_5,A,13.0,,13D,,,,151001,151621,620,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,True,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,151001.0,151621.0,620.0,694535.0,694915.0,380.0,both,both,both
001,11,0.7154409692704071,0.4572533915505262,0.6302305703857707,0.5473176472736782,0.6771248527486808,0.6326747354956571,0.7671667278949812,0.6251956832139045,0.7707811064440376,0.6114469910868533,0.7893385222999222,0.817402973230145,1.2593584296207279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13A,A,1.0,1_5,A,13.0,,13A,,,,153668,154228,560,B,2.0,2_10,B,13.0,,,13A,,,696495,696775,280,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13A,13A,,,True,,met de twee eh uitsteeksels met bolletjes.,,With the two eh protrusions with spheres.,,,13A-REP,13A-REP,True,153668.0,154228.0,560.0,696470.0,696800.0,330.0,both,both,both
001,12,0.18090395790665015,0.1510801841425154,0.207031858306366,0.09661452579039342,0.1386499285280669,0.053412296879228154,0.10631176256825334,0.052927449960388874,0.10371594381276156,0.055245776045581535,0.10049365387303183,0.8996375508229502,0.20572656415026477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16A,B,1.0,1_6,B,16.0,,,16A,,,165805,166685,880,A,2.0,2_3,A,16.0,,16C,,16A,,606509,606829,320,,"Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.",,"On top is a kind of oval, say, kind of top of a soup ladle.",,,,16A,True,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,16A,16C,,,True,165805.0,166685.0,880.0,606504.0,606834.0,330.0,both,right,both
001,13,0.7253608881585621,0.24376179797174782,0.4925784068017197,0.39740414355662096,0.7524209343988868,0.4072940538680815,0.6753878943657573,0.39943167046600486,0.5612791294349228,0.36507603199785144,0.4238098269123205,0.28801554656237816,1.4466891370377664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16D,B,1.0,1_6,B,16.0,,,16D,,,178501,179161,660,A,2.0,2_3,A,16.0,,16D,,,,615564,615924,360,,En helemaal linksachter een soort eh armpje.,,And on the far left back a kind of um arm.,,,,16D,True,En aan de achterkant heb je een soort van armpje die een beetje krom staat.,,And at the back you have a kind of little arm that's kind of crooked.,,,16D,,,True,178501.0,179161.0,660.0,615564.0,615924.0,360.0,right,right,right
001,14,0.2543110120595498,0.6069875682417464,0.07547067245298816,0.6323032422963035,0.31279086280642776,0.5667804253143965,0.3854684285286718,0.5059552405205134,0.3612443346117133,0.439979641431387,0.34583187678448346,0.9379830000820714,0.04505989717301427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11A,A,1.0,1_7,A,11.0,,11A,,,,208938,209298,360,B,1.0,1_7,A,11.0,,,11A,,,251028,251588,560,En de andere is een platte uitsteeksel,,And the other is a flat protrusion,,,11A,,,True,,"Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?",,"Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?",,,,11A,True,208938.0,209298.0,360.0,251028.0,251588.0,560.0,right,right,right
001,15,0.28581938263034934,0.09331399209790626,0.16567550107657125,0.1465033635834466,0.325074225070371,0.18209953768605286,0.3570999449475319,0.2281088715123465,0.3564601968802868,0.22495848004652205,0.3299628474616497,0.4619720052431651,0.5586036259583423,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11C,A,1.0,1_7,A,11.0,,11C,,,,233771,234397,626,B,2.0,2_6,B,11.0,,,11C,,,649013,649773,760,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,11C,11C,,,True,,Neusje voorop en dan aan de rechterkant het eh omgevouwen papiertje.,,Nose in front and then on the right side the um folded paper.,,,11C,11C,True,233771.0,234397.0,626.0,649013.0,649773.0,760.0,both,both,both
001,16,0.3459698756088946,0.3430954607150393,0.5179415037025108,0.2085545261388593,0.48912228947891023,0.26890167794299097,0.45876297321976706,0.23210023105619734,0.3719659203860513,0.1948662884700373,0.3356329208292049,0.34379029787122567,0.386904417495941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,08B,B,1.0,1_8,B,8.0,,,08B,,,268281,268941,660,A,1.0,1_8,B,8.0,,08B,,,,290081,290601,520,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,08B,08B,True,Dat bovenop is is een ruit met twee vierkanten die...,,That on top is a diamond with two squares that...,,08B,08B,,,True,268281.0,268941.0,660.0,290081.0,290601.0,520.0,both,both,both
001,17,0.427538543812942,0.18021420927388204,0.5019473786763438,0.1674844989003395,0.518110858277774,0.18905092333442286,0.496479993965973,0.22486342130990913,0.4408727054744732,0.25209807488747116,0.37727105191401955,1.307854351305997,1.1420696257118939,0.35036619021992477,0.13045835581612325,0.11237304867414638,0.11145775426064794,0.1087142952521371,2.2604214779667706,0.5100192719170407,0.4746628561255669,0.47449859303684494,0.4496013639865009,0.4151466085868578,0.24130256922484078,08D,B,1.0,1_8,B,8.0,,,08D,,,276021,276221,200,A,2.0,2_13,A,8.0,,08D,,,,721682,722082,400,,En aan de zijkant heb je een arm #voice creaks# die lijkt alsof die een knuffel gaat geven.,,And on the side you have an arm #voice creaks# that looks like it's going to give a hug.,,,08D,,True,en een f- armpje aan de zijkant met daar bovenop een eh ruit,,and an f- arm on the side with an eh window on top of it,,,08D,,,True,275956.0,276286.0,330.0,721682.0,722082.0,400.0,right,left,right_left
001,18,0.5340887633216154,0.544745221736988,0.24991021365604463,0.798395828798014,0.25857114893936023,0.9544488868473793,0.3295733694896026,0.9637025381049635,0.353347647431435,0.8576357843579501,0.3144477853239955,0.6381845643999178,0.38250961036775577,0.2788480786240286,0.3805016008894741,0.48878941215416627,0.46919270930304274,0.35763806426515604,1.2295627146938246,0.535480126133685,0.5981262226415592,0.7330382961005395,0.7487990499313733,0.6806168762658338,1.064222941699262,08E,B,1.0,1_8,B,8.0,,,08E,,,279400,280260,860,A,2.0,2_13,A,8.0,,08E,,,,719876,720296,420,,,,,,,,08E,True,en dan een voetje eronder,,and then a foot underneath,,08E,,,,True,279400.0,280260.0,860.0,719876.0,720296.0,420.0,left,right,left_right
001,19,0.22957646149568597,0.3433927183921947,0.04527297783971646,0.2636340463840805,0.09775139577141494,0.24133872649311564,0.08770851306900042,0.2044859496041462,0.07322806979118429,0.1695033795201218,0.06582415565268152,0.8169060790058937,0.3458715264246814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,05D,A,1.0,1_11,A,5.0,,05D,,05E,,337323,337643,320,B,2.0,2_16,B,5.0,,,05D,,05E,755214,755634,420,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,Oh ja. #laughs#,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,05E,05D,,,True,"Oh, de pinguÃ¯n.",en twee armpjes.,"Oh, the penguin.",and two little arms.,,,05E,05D,True,337318.0,337648.0,330.0,755214.0,755634.0,420.0,both,both,both
001,20,0.22957646149568597,0.3433927183921947,0.04527297783971646,0.2636340463840805,0.09775139577141494,0.24133872649311564,0.08770851306900042,0.2044859496041462,0.07322806979118429,0.1695033795201218,0.06582415565268152,0.8169060790058937,0.3458715264246814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,05E,A,1.0,1_11,A,5.0,,05D,,05E,,337323,337643,320,B,2.0,2_16,B,5.0,,,05D,,05E,755214,755634,420,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,Oh ja. #laughs#,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,05E,05D,,,True,"Oh, de pinguÃ¯n.",en twee armpjes.,"Oh, the penguin.",and two little arms.,,,05E,05D,True,337318.0,337648.0,330.0,755214.0,755634.0,420.0,both,both,both
001,21,0.5025346724369208,0.5886330132789489,0.16035361599094536,0.6077017440665887,0.3100835454803373,0.4973803609962843,0.282906432672099,0.42759211054951135,0.21951175035638337,0.37236938437857187,0.1613144084516945,2.0656517636290217,0.3369179393926636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,05A,A,1.0,1_11,A,5.0,,05A,,,,343321,344281,960,B,1.0,1_11,A,5.0,,,05A,,,368897,369517,620,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,05A,05A,,,True,,heeft die een een een rechthoekige balk bovenop liggen?,,Does that one have a one rectangular beam on top?,,,,05A,True,343321.0,344281.0,960.0,368897.0,369517.0,620.0,both,right,both
001,22,1.0743186578976907,0.6898600665302743,0.9828752995439223,0.5103892028737497,1.145577422824087,0.4032252692284692,1.017278146086346,0.3203085099568286,0.8724617772896862,0.23119037309939985,0.7023995754135148,1.0474064711450097,1.7253197262285873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,04B,B,1.0,1_12,B,4.0,,,04B,,,394656,395356,700,A,1.0,1_12,B,4.0,,04B,,,,411515,411795,280,,aan de rechterkant erin.,,on the right side in it.,,,,04B,True,"en die, die, zeg maar, zijn twee rechte platte balken die er aan...",,"and those, those, say, are two straight flat beams attached to...",,,04B,,,True,394656.0,395356.0,700.0,411490.0,411820.0,330.0,right,right,right
001,23,0.23171456426263048,0.19679377927503125,0.2147549184075653,0.25726046712637335,0.1964799916068464,0.24896601651039882,0.2117004838645253,0.25723146310652284,0.2288943869891283,0.2888106540683741,0.2674924555688662,0.18218889178347183,0.2300012628444618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,07B,A,1.0,1_13,A,7.0,,07B,,,,420881,422556,1675,B,2.0,2_8,B,7.0,,,07B,,,663761,663901,140,Ehm omdat hij dus op de helft van de dingen zit een zit een soort van plank.,,Ehm because he's so on half of the things a sits kind of plank.,,07B,07B,,,True,,maar dan daarboven met het bakje bovenop en een soort tafeltje eh naar beneden.,,but up there with the tray on top and a kind of table eh down.,,,07B,07B,True,420881.0,422556.0,1675.0,663666.0,663996.0,330.0,both,both,both
001,24,0.7475502596912836,0.21988342437983577,0.7150909112529211,0.24240003659414086,0.8271764415016823,0.2825806829988057,0.745945616735486,0.2925169827511413,0.6637715242926783,0.2999398421438778,0.5276366818355255,1.0437297792460465,2.781220551155897,0.7780546981935065,0.8118536028334342,0.6673776013463313,0.5333664955098284,0.4019793787281977,1.2926697815364043,0.32632938667751393,0.4491240682479628,0.4661727255888016,0.4321761115428514,0.3366423561848152,1.852899499073391,02A,B,1.0,1_14,B,2.0,,,02A,,,449178,449578,400,A,2.0,2_11,A,2.0,,02A,,,,704621,705402,781,,"Deze heeft een eh ja ijshoorntje op de kop, op de bovenkant.",,"This one has an um yes ice cream cone on the head, on the top.",,,,02A,True,Ehm dit is weer eh die rijder de met die eh ijshoorn op de kop.,,Um this is again eh that rider the with that eh ice cream cone on the head.,,02A,,,,True,449178.0,449578.0,400.0,704621.0,705402.0,781.0,left,right,left_right
001,25,0.5615501817445375,0.35668580372527414,0.4541007732867748,0.5124181281131102,0.5717514758377172,0.5422330928103414,0.4845844879965065,0.4829205828859706,0.43424686235889504,0.3851113001361322,0.38355088576700014,1.3750250504700416,0.7559737375466864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14A,A,2.0,2_1,A,14.0,,14A,,,,541800,542300,500,B,3.0,3_16,B,14.0,,,14A,,,903401,903541,140,Eh dit is eh met een bol bovenop,,Eh this is eh with a sphere on top,,14A,14A,,,True,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14A,,True,541800.0,542300.0,500.0,903306.0,903636.0,330.0,both,left,both
001,26,0.47974985268241327,0.4946642044645922,0.2049837608907225,0.7489885497462395,0.08633445407819479,0.8044613712250404,0.03957667926659629,0.8505283413938708,0.040874499332828426,0.871955242750229,0.06881265192508391,1.4032308615051068,0.14258761561045435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14C,A,2.0,2_1,A,14.0,,14C,,,,549281,549701,420,B,3.0,3_16,B,14.0,,,14C,,,905520,906260,740,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,14C,,,True,,en de balk voorop.,,and the beam in front.,,,,14C,True,549281.0,549701.0,420.0,905520.0,906260.0,740.0,both,right,both
