pair,comparison_id,average_distance,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_wrist,right_wrist,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
001,1,0.12999615814077536,0.039555354296113544,0.16465696551389208,0.02924611202080458,0.07682379332118504,0.03413121550255347,0.07091936654692454,0.06436961663610113,0.061449170245226954,0.1210482484579325,0.07281768052000259,0.4523208451900129,0.37261552943855497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09B,A,1.0,1_1,A,9.0,,09B,,,,23522,23862,340,B,2.0,2_2,B,9.0,,,09B,,,585720,586200,480,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,True,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,True,23522.0,23862.0,340.0,585720.0,586200.0,480.0,both,both,both
001,2,0.3025035335098324,0.34516079680072337,0.18940584416163128,0.15969214814022747,0.24077977843422751,0.20275921416435783,0.19221651367729709,0.17897369670986124,0.18293104253388837,0.14937584776307938,0.1846012438697629,0.7490650200005902,0.8550812558623424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09A,A,1.0,1_1,A,9.0,,09A,,,,28261,28921,660,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,True,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,28261.0,28921.0,660.0,577858.0,578188.0,330.0,both,right,both
001,3,0.23893644102995532,0.17581094434289907,0.07071757436272146,0.23883152860188,0.12472891610385269,0.33641327869287213,0.2673890164975647,0.12362882312378673,0.34220241179698074,0.0435814499165388,0.3027354445757894,0.2009978738423927,0.6402000305021853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,B,1.0,1_2,B,6.0,,,06B,,,62023,62423,400,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,True,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,62023.0,62423.0,400.0,88685.0,89085.0,400.0,both,right,both
001,4,0.17688306334036283,0.18715176183765114,0.29702794765805807,0.03152156545828965,0.167674464684728,0.04713686044009746,0.16266838791855048,0.0519182793329182,0.17988815747940345,0.041656896224022216,0.2103291765122941,0.0970546078130434,0.6485686547252978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06D,B,1.0,1_2,B,6.0,,,06D,,,63661,63991,330,A,1.0,1_2,B,6.0,,06D,,,,79567,80047,480,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,True,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,True,63661.0,63991.0,330.0,79567.0,80047.0,480.0,both,right,both
001,5,0.45786210053372295,0.7309697201231364,0.43734770999044176,0.7059067683913174,0.6523410533064474,0.5667554654808606,0.5440323152720882,0.47464041465800866,0.5341393529791734,0.5800697375649427,0.5214390605447539,1.135035142539555,0.057873111109432405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06C,B,1.0,1_2,B,6.0,,,06C,,,67671,68071,400,A,2.0,2_9,A,6.0,,06C,,,,684606,685166,560,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,True,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,True,67671.0,68071.0,400.0,684606.0,685166.0,560.0,right,right,right
001,6,0.37246703941568,0.1929235050894608,0.25822817573499557,0.3080185630538093,0.46537995677382105,0.3349222974776746,0.6037647616355754,0.28643955630772105,0.5998183094672882,0.21795811588622543,0.5240366346328699,0.22041084129366192,0.45770375563505683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,88685.0,89085.0,400.0,865657.0,866957.0,1300.0,both,right,both
001,7,0.37345027832910405,0.5275488302726121,0.2955693959879732,0.3772673697763092,0.24368175427158426,0.4095780322556852,0.24391700756391793,0.42108862750419707,0.24176206829827285,0.4061817643454457,0.2242907989337077,0.8228352695570164,0.2676824211825271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15C,A,1.0,1_3,A,15.0,,15C,,,,109461,110021,560,B,4.0,4_2,B,15.0,,,15C,,,923261,923541,280,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,True,,Ik heb met de glijbaan die drijft.,,I have with the slide that floats.,,,,15C,True,109461.0,110021.0,560.0,923236.0,923566.0,330.0,both,right,both
001,8,0.3760549939747384,0.35905447881314734,0.22128273296848275,0.33453777705681587,0.13705432454665128,0.3365814712144892,0.15935228658016534,0.3438074643451582,0.17510898468306776,0.33826609445281763,0.17538723284510074,0.786802187421907,1.1454248927690582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14D,B,1.0,1_4,B,14.0,,,14D,,,131201,131541,340,A,1.0,1_4,B,14.0,,14D,,14B,,142326,143486,1160,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,True,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,True,131201.0,131541.0,340.0,142326.0,143486.0,1160.0,both,left,both
001,9,0.630504864319799,0.5735776935644745,0.7580167003216011,0.8370468249580462,0.8497113055677767,0.9527058668038361,0.7447974907364961,1.0576777534981854,0.574283562972705,1.1561675854591176,0.3825425109682064,1.3514566863496176,1.2597172252334652,0.4060226665392906,0.538912657891844,0.5154737052085103,0.4509862755147046,0.3826289043063325,1.489004976458112,0.5168678786593376,0.6054309893079722,0.6361262527453654,0.6577850778681225,0.6651638319692158,1.6132604398535528,14C,B,1.0,1_4,B,14.0,,,14C,,,133136,134256,1120,A,2.0,2_1,A,14.0,,14C,,,,548343,548643,300,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,True,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,True,133136.0,134256.0,1120.0,548328.0,548658.0,330.0,left,right,left_right
001,10,0.3737334425600176,0.11022242882384874,0.4671202667028106,0.2767460238234897,0.4937019325203305,0.3047572670063415,0.5570485095243092,0.27854215237331587,0.5497379087177945,0.2396324294160833,0.46037279450157886,0.5333554357271857,0.21356416158312314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13D,A,1.0,1_5,A,13.0,,13D,,,,151001,151621,620,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,True,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,151001.0,151621.0,620.0,694535.0,694915.0,380.0,both,both,both
