turn_id,pair,speaker,trial,from_ts,to_ts,start,end,duration,original_text,text,lemma,pos,eng_text,num_words,num_content_words
1,001,A,1_1,00:00:00.161,00:00:01.651,0.161,1.651,1.49,"Ja, ik ben ook heel benieuwd #laughs#",Ja ik ben ook heel benieuwd,ja ik zijn ook heel benieuwd,"['INTJ', 'PRON', 'AUX', 'ADV', 'ADJ', 'ADJ']","Yes, I am also very curious #laughs#",6,3
2,001,B,1_1,00:00:01.559,00:00:02.841,1.559,2.841,1.2820000000000003,Met jou ook alles goed?,Met jou ook alles goed,met jou ook alles goed,"['ADP', 'PRON', 'ADV', 'PRON', 'ADJ']",Are you also doing well?,5,2
3,001,A,1_1,00:00:03.721,00:00:04.582,3.721,4.582,0.8609999999999998,Ja met mij ook wel,Ja met mij ook wel,ja met mij ook wel,"['INTJ', 'ADP', 'PRON', 'ADV', 'ADV']",Yes with me too,5,2
4,001,A,1_1,00:00:04.831,00:00:06.781,4.831,6.781,1.9499999999999993,"Ik vind... Oh okÃ©, we mogen beginnen",Ik vind Oh oké we mogen beginnen,ik vinden Oh oké we mogen beginnen,"['PRON', 'VERB', 'INTJ', 'ADJ', 'PRON', 'AUX', 'VERB']","I think... Oh okay, we may begin",7,3
5,001,B,1_1,00:00:04.951,00:00:05.341,4.951,5.341,0.39000000000000057,Mooi.,Mooi,mooi,['ADJ'],Nice.,1,1
6,001,B,1_1,00:00:06.839,00:00:07.121,6.839,7.121,0.28200000000000003,Yes.,Yes,Yes,['SYM'],Yes.,1,0
7,001,A,1_1,00:00:06.851,00:00:09.951,6.851,9.951,3.1000000000000005,"Ehm ik, ik heb het vierkantje dus ik moet beginnen met uitleggen he",Ehm ik ik heb het vierkantje dus ik moet beginnen met uitleggen he,Ehm ik ik hebben het vierkan dus ik moeten beginnen met uitleggen he,"['ADP', 'PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'ADV', 'PRON', 'AUX', 'VERB', 'ADP', 'VERB', 'INTJ']","Ehm I, I got the square so I have to start explaining hey",13,4
8,001,B,1_1,00:00:10.071,00:00:10.481,10.071,10.481,0.41000000000000014,Oké.,Oké,Oké,['ADJ'],Okay.,1,1
9,001,A,1_1,00:00:10.841,00:00:11.401,10.841,11.401,0.5600000000000005,Ehm,Ehm,Ehm,['ADP'],Um,1,0
10,001,A,1_1,00:00:12.211,00:00:18.411,12.211,18.411,6.200000000000001,"OkÃ©, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",Oké ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje,Oké ik hebben dus zeggen maar ja dat soort van reactortje die staan op een op een ja op een vlakje,"['VERB', 'PRON', 'AUX', 'ADV', 'VERB', 'CCONJ', 'INTJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']","Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",21,8
11,001,A,1_1,00:00:18.461,00:00:22.210,18.461,22.21,3.7490000000000023,Dat is een een een eh ovaal vlak,Dat is een een een eh ovaal vlak,dat zijn een een één eh ovaal vlak,"['SCONJ', 'AUX', 'DET', 'DET', 'NUM', 'INTJ', 'ADJ', 'NOUN']",That's a one an um oval plane,8,2
12,001,A,1_1,00:00:22.231,00:00:24.531,22.231,24.531,2.299999999999997,En dat is een soort van ja (staand) iets waar die op staat,En dat is een soort van ja staand iets waar die op staat,en dat zijn een soort van ja staand iets waar die op staat,"['CCONJ', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'INTJ', 'ADJ', 'PRON', 'ADV', 'PRON', 'ADP', 'NOUN']",And that's kind of a yes (standing) something that it's standing on,13,4
13,001,A,1_1,00:00:25.071,00:00:29.471,25.071,29.471,4.399999999999999,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",Dan lijkt het alsof hij geroerd word omdat er een ja pinnetje op zit,dan lijken het alsof hij roeren worden omdat er een ja pinne op zitten,"['ADV', 'VERB', 'PRON', 'SCONJ', 'PRON', 'VERB', 'AUX', 'SCONJ', 'ADV', 'DET', 'INTJ', 'NOUN', 'ADP', 'VERB']","Then it looks like it is being stirred, because there is a yes pin on it",14,6
