Begin Time - msec,End Time - msec,Duration - msec,A_LH_gesture,A_RH_gesture,B_LH_gesture,B_RH_gesture,File,File Path,A_LH_gesture_beat,A_LH_gesture_comments,A_LH_gesture_deixis,A_LH_gesture_iconicity,A_LH_gesture_pragmaticality,A_LH_gesture_referent,A_RH_gesture_beat,A_RH_gesture_comments,A_RH_gesture_deixis,A_RH_gesture_iconicity,A_RH_gesture_pragmaticality,A_RH_gesture_referent,A_speech,A_speech_eng,B_LH_gesture_beat,B_LH_gesture_comments,B_LH_gesture_deixis,B_LH_gesture_iconicity,B_LH_gesture_pragmaticality,B_LH_gesture_referent,B_RH_gesture_beat,B_RH_gesture_comments,B_RH_gesture_deixis,B_RH_gesture_iconicity,B_RH_gesture_pragmaticality,B_RH_gesture_referent,B_speech,B_speech_eng,accuracy,comments,correct_answer,director,given_answer,round,target,trial,pair,gesturer,iconic_a,iconic_b,iconic
12739,13039,300,gesture,gesture,,,001.eaf,,,,,1.0,,main,,,,1.0,,main,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje","Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
13333,13573,240,gesture,gesture,,,001.eaf,,,,,1.0,,main-REP,,,,1.0,,main-REP,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje","Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
13977,14297,320,gesture,gesture,,,001.eaf,,,,,1.0,,main-rep,,,,1.0,,main-rep,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje","Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
14337,14617,280,gesture,gesture,,,001.eaf,,,,,1.0,,main,,,,1.0,,main,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje","Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
16140,16440,300,gesture,gesture,,,001.eaf,,,,,1.0,,09B,,,,1.0,,09B,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje","Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
21851,22161,310,gesture,gesture,,,001.eaf,,,,,1.0,,09B,,,,1.0,,09B,Dat is een een een eh ovaal vlak,That's a one an um oval plane,,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
23522,23862,340,gesture,gesture,,,001.eaf,,1.0,,,1.0,,09B,1.0,,,1.0,,09B,En dat is een soort van ja (staand) iets waar die op staat,And that's kind of a yes (standing) something that it's standing on,,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
25202,26042,840,,gesture,,,001.eaf,,,,,,,,,,,1.0,,09A,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit","Then it looks like it is being stirred, because there is a yes pin on it",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
28261,28921,660,gesture,gesture,,,001.eaf,,,,,1.0,,09A,,,,1.0,,09A,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit","Then it looks like it is being stirred, because there is a yes pin on it",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
32588,33008,420,gesture,gesture,,,001.eaf,,,,,1.0,,09D,,,,1.0,,09D,Ehm hij heeft ̩̩n arm en aan de achterkant heeft hij een cirkel,Um he has one arm and at the back he has a circle,,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
