pair,round,trial,director,target,accuracy,A_speech,B_speech,A_speech_eng,B_speech_eng,A_LH_gesture_referent,A_RH_gesture_referent,B_LH_gesture_referent,B_RH_gesture_referent,A_gesture_referent,A_gesture_referent2,B_gesture_referent,B_gesture_referent2,begin_time,end_time,duration,iconic
001,1.0,1_1,A,9.0,,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",,"Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,09B,09B,,,09B,,,,16140,16440,300,True
001,1.0,1_1,A,9.0,,Dat is een een een eh ovaal vlak,,That's a one an um oval plane,,09B,09B,,,09B,,,,21851,22161,310,True
001,1.0,1_1,A,9.0,,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,09B,,,,23522,23862,340,True
001,1.0,1_1,A,9.0,,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,,09A,,,09A,,,,25202,26042,840,True
001,1.0,1_1,A,9.0,,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,09A,,,,28261,28921,660,True
001,1.0,1_1,A,9.0,,Ehm hij heeft ̩̩n arm en aan de achterkant heeft hij een cirkel,,Um he has one arm and at the back he has a circle,,09D,09D,,,09D,,,,32588,33008,420,True
001,1.0,1_1,A,9.0,,"Ehm ja, die er tegenaan zit",,"Ummm yes, the one that sits against it",,09D,,,,09D,,,,35942,36182,240,True
001,1.0,1_2,B,6.0,,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,,,06B,,62023,62423,400,True
001,1.0,1_2,B,6.0,,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,,,06D,,63661,63991,330,True
001,1.0,1_2,B,6.0,,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,,,06C,,67671,68071,400,True
