Begin Time - msec,End Time - msec,Duration - msec,A_LH_gesture,A_RH_gesture,B_LH_gesture,B_RH_gesture,File,File Path,A_RH_gesture_lexaff,B_RH_gesture_deixis,B_RH_gesture_beat,A_LH_gesture_comments,B_speech_eng,B_LH_gesture_pragmaticality,correct_answer,accuracy,trial,A_RH_gesture_pragmaticality,B_LH_gesture_lexaff,A_speech,screens,A_RH_gesture_iconicity,A_speech_eng,A_RH_gesture_comments,given_answer,A_LH_gesture_beat,comments,A_LH_gesture_iconicity,B_LH_gesture_beat,director,A_RH_gesture_beat,A_LH_gesture_referent,A_RH_gesture_deixis,B_speech,B_RH_gesture_iconicity,A_RH_gesture_referent,A_LH_gesture_deixis,target,B_RH_gesture_lexaff,round,B_LH_gesture_comments,B_RH_gesture_comments,B_RH_gesture_referent,B_LH_gesture_iconicity,B_LH_gesture_deixis,A_LH_gesture_pragmaticality,A_LH_gesture_lexaff,B_LH_gesture_referent,B_RH_gesture_pragmaticality,pair,gesturer,iconic_a,iconic_b,iconic
12739,13039,300,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",,1.0,"Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,1.0,,A,,main,,,,main,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
13333,13573,240,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",,1.0,"Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,1.0,,A,,main-REP,,,,main-REP,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
13977,14297,320,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",,1.0,"Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,1.0,,A,,main-rep,,,,main-rep,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
14337,14617,280,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",,1.0,"Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,1.0,,A,,main,,,,main,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
16140,16440,300,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Ok̩, ik heb dus zeg maar ja dat soort van reactortje die staat op een op een ja op een vlakje",,1.0,"Okay, so I have say yes that kind of reactor that is on a on a yes on a plane",,,,,1.0,,A,,09B,,,,09B,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
21851,22161,310,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,Dat is een een een eh ovaal vlak,,1.0,That's a one an um oval plane,,,,,1.0,,A,,09B,,,,09B,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
23522,23862,340,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,En dat is een soort van ja (staand) iets waar die op staat,,1.0,And that's kind of a yes (standing) something that it's standing on,,,1.0,,1.0,,A,1.0,09B,,,,09B,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
25202,26042,840,,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,1.0,"Then it looks like it is being stirred, because there is a yes pin on it",,,,,,,A,,,,,,09A,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
28261,28921,660,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,1.0,"Then it looks like it is being stirred, because there is a yes pin on it",,,,,1.0,,A,,09A,,,,09A,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
32588,33008,420,gesture,gesture,,,001.eaf,,,,,,,,14,,1_1,,,Ehm hij heeft ̩̩n arm en aan de achterkant heeft hij een cirkel,,1.0,Um he has one arm and at the back he has a circle,,,,,1.0,,A,,09D,,,,09D,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
